taxonomy,intensity,value,,,,,,,,,,,,,,,,
EQ_T_LQ4_PGA_TUNNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,1.78],[0,0,0,120,240,720,960,1200,1600]
EQ_T_PGA_DRNNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,48,96,192,288,384,480,960]
EQ_T_LQ1_PGA_DRNNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,48,96,192,288,384,480,960]
EQ_T_LQ2_PGA_DRNNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,48,96,192,288,384,480,960]
EQ_T_LQ3_PGA_DRNNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,48,96,192,288,384,480,960]
EQ_T_LQ4_PGA_DRNNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,48,96,192,288,384,480,960]
EQ_T_PGA_BRGNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,96,192,384,576,768,960,1600]
EQ_T_LQ1_PGA_BRGNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,96,192,384,576,768,960,1600]
EQ_T_LQ2_PGA_BRGNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,96,192,384,576,768,960,1600]
EQ_T_LQ3_PGA_BRGNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,96,192,384,576,768,960,1600]
EQ_T_LQ4_PGA_BRGNA,[0,0.2,0.41,0.61,0.82,1.02,1.22,1.43,2.48],[0,0,96,192,384,576,768,960,1600]
EQ_T_PGA_CCMNA,[0,0.09,0.18,0.35,0.66,3.4],[0,0,0,0,48,120],,,,,,
EQ_T_LQ1_PGA_CCMNA,[0,0.09,0.18,0.35,0.66,3.4],[0,0,0,0,48,120],,,,,,
EQ_T_LQ2_PGA_CCMNA,[0,0.09,0.18,0.35,0.66,2.2],[0,0,0,48,120,192],,,,,,
EQ_T_LQ3_PGA_CCMNA,[0,0.09,0.18,0.35,0.66,1.9],[0,0,48,120,192,480],,,,,,
EQ_T_LQ4_PGA_CCMNA,[0,0.09,0.18,0.35,0.66],[0,48,120,192,480],,,,,,,,
